iter	Passed	Remaining
0	0	207
1	1	166
2	1	151
3	2	147
4	2	141
5	3	138
6	3	135
7	4	132
8	11	318
9	12	299
10	13	282
11	13	270
12	14	259
13	14	249
14	15	240
15	15	232
16	16	225
17	17	219
18	17	214
19	18	208
20	18	204
21	19	199
22	19	196
23	20	193
24	21	194
25	22	191
26	22	188
27	23	185
28	23	182
29	24	179
30	25	177
31	25	175
32	27	183
33	28	181
34	29	178
35	29	176
36	30	174
37	30	171
38	31	169
39	31	167
40	32	165
41	33	164
42	33	162
43	34	160
44	34	159
45	35	157
46	36	156
47	36	154
48	37	153
49	37	151
50	38	150
51	39	148
52	39	147
53	40	146
54	40	145
55	41	143
56	42	142
57	42	141
58	43	140
59	43	138
60	44	137
61	44	136
62	45	135
63	46	134
64	46	133
65	47	131
66	47	130
67	48	129
68	48	128
69	49	127
70	50	126
71	50	125
72	51	124
73	51	122
74	52	121
75	52	121
76	53	120
77	54	119
78	54	118
79	55	117
80	55	116
81	56	115
82	56	114
83	57	113
84	58	113
85	58	112
86	59	111
87	60	110
88	60	109
89	61	108
90	61	107
91	62	107
92	62	106
93	63	105
94	63	104
95	64	103
96	65	102
97	65	101
98	66	101
99	66	100
100	67	99
101	67	98
102	68	97
103	69	97
104	69	96
105	70	95
106	70	94
107	71	93
108	71	93
109	72	92
110	73	91
111	73	90
112	74	90
113	74	89
114	75	88
115	76	87
116	76	87
117	77	86
118	77	85
119	78	84
120	78	84
121	79	83
122	81	83
123	82	83
124	83	83
125	84	82
126	85	82
127	86	81
128	86	81
129	87	81
130	88	80
131	89	80
132	90	79
133	91	79
134	92	78
135	93	78
136	94	77
137	95	77
138	96	76
139	97	76
140	97	75
141	98	74
142	98	73
143	99	73
144	100	72
145	100	71
146	101	71
147	102	70
148	102	69
149	103	68
150	103	68
151	104	67
152	104	66
153	105	65
154	106	65
155	106	64
156	107	63
157	107	62
158	108	62
159	109	61
160	110	61
161	111	60
162	112	60
163	113	59
164	114	59
165	115	58
166	116	57
167	117	57
168	118	56
169	119	56
170	120	55
171	121	55
172	122	54
173	124	54
174	125	53
175	126	53
176	127	52
177	128	51
178	129	51
179	130	50
180	131	50
181	132	49
182	133	48
183	133	48
184	134	47
185	135	46
186	136	46
187	137	45
188	138	44
189	139	44
190	140	43
191	142	42
192	143	42
193	144	41
194	145	40
195	145	40
196	146	39
197	147	38
198	148	38
199	150	37
200	151	37
201	152	36
202	152	35
203	153	34
204	154	33
205	154	33
206	155	32
207	155	31
208	156	30
209	157	29
210	157	29
211	158	28
212	158	27
213	159	26
214	159	26
215	160	25
216	160	24
217	161	23
218	162	22
219	162	22
220	163	21
221	163	20
222	164	19
223	164	19
224	165	18
225	165	17
226	166	16
227	167	16
228	167	15
229	168	14
230	168	13
231	169	13
232	169	12
233	170	11
234	170	10
235	171	10
236	172	9
237	172	8
238	173	7
239	174	7
240	175	6
241	175	5
242	177	5
243	178	4
244	178	3
245	179	2
246	180	2
247	180	1
248	181	0
249	181	0
