iter	Passed	Remaining
0	6	1795
1	13	1957
2	18	1809
3	26	1983
4	35	2107
5	47	2342
6	54	2266
7	61	2240
8	66	2138
9	70	2054
10	75	1972
11	83	1998
12	92	2035
13	95	1956
14	100	1910
15	103	1838
16	107	1791
17	111	1751
18	122	1807
19	131	1837
20	136	1807
21	142	1802
22	147	1771
23	150	1730
24	157	1730
25	163	1718
26	167	1692
27	170	1655
28	172	1615
29	179	1616
30	190	1649
31	195	1641
32	201	1626
33	206	1615
34	209	1588
35	217	1595
36	224	1593
37	229	1579
38	237	1586
39	239	1554
40	245	1548
41	249	1533
42	252	1508
43	254	1482
44	258	1463
45	261	1441
46	264	1424
47	270	1420
48	274	1404
49	279	1399
50	286	1400
51	289	1380
52	304	1416
53	306	1395
54	311	1385
55	319	1392
56	327	1398
57	338	1413
58	349	1426
59	352	1408
60	358	1405
61	368	1415
62	371	1396
63	373	1377
64	375	1358
65	378	1342
66	388	1352
67	395	1349
68	400	1341
69	407	1340
70	410	1325
71	413	1308
72	419	1304
73	428	1310
74	436	1309
75	444	1309
76	448	1298
77	457	1303
78	467	1307
79	471	1296
80	479	1296
81	486	1293
82	491	1286
83	503	1294
84	508	1287
85	514	1280
86	524	1283
87	531	1280
88	535	1270
89	539	1259
90	545	1252
91	547	1238
92	563	1255
93	571	1252
94	580	1253
95	586	1246
96	589	1232
97	592	1221
98	596	1210
99	601	1202
100	605	1192
101	611	1186
102	614	1174
103	620	1170
104	626	1162
105	630	1154
106	634	1143
107	636	1131
108	640	1121
109	643	1111
110	646	1101
111	651	1093
112	654	1083
113	659	1076
114	667	1074
115	672	1067
116	677	1059
117	683	1054
118	693	1054
119	700	1050
120	705	1043
121	715	1043
122	723	1040
123	726	1031
124	731	1024
125	735	1015
126	739	1007
127	749	1006
128	752	998
129	757	990
130	762	983
131	765	973
132	769	966
133	777	963
134	788	963
135	794	957
136	800	952
137	812	953
138	819	949
139	824	941
140	827	933
141	838	933
142	844	927
143	850	921
144	856	915
145	863	910
146	869	905
147	875	899
148	879	891
149	883	883
150	889	877
151	896	872
152	905	870
153	913	865
154	924	865
155	928	856
156	934	850
157	939	844
158	947	840
159	953	834
160	958	827
161	961	818
162	967	812
163	980	812
164	990	810
165	997	805
166	1002	798
167	1008	792
168	1012	785
169	1020	780
170	1029	776
171	1034	770
172	1043	765
173	1052	762
174	1057	755
175	1062	748
176	1071	744
177	1076	737
178	1090	737
179	1100	733
180	1107	727
181	1111	720
182	1116	713
183	1119	706
184	1123	698
185	1127	691
186	1132	684
187	1140	679
188	1146	673
189	1153	667
190	1157	660
191	1166	656
192	1172	649
193	1181	645
194	1186	639
195	1196	634
196	1203	629
197	1218	627
198	1224	621
199	1228	614
200	1236	609
201	1246	604
202	1253	598
203	1263	594
204	1265	586
205	1270	579
206	1278	574
207	1282	567
208	1287	560
209	1290	553
210	1296	546
211	1301	540
212	1306	533
213	1309	526
214	1312	518
215	1317	512
216	1320	505
217	1325	498
218	1329	491
219	1332	484
220	1339	478
221	1343	472
222	1348	465
223	1352	458
224	1357	452
225	1359	445
226	1368	440
227	1372	433
228	1374	426
229	1376	419
230	1382	413
231	1386	406
232	1390	399
233	1394	393
234	1398	386
235	1404	380
236	1406	373
237	1411	367
238	1416	361
239	1419	354
240	1423	348
241	1427	342
242	1438	337
243	1444	331
244	1450	325
245	1463	321
246	1468	315
247	1483	310
248	1487	304
249	1496	299
250	1499	292
251	1504	286
252	1508	280
253	1513	274
254	1521	268
255	1526	262
256	1529	255
257	1534	249
258	1538	243
259	1544	237
260	1548	231
261	1551	225
262	1556	218
263	1559	212
264	1563	206
265	1567	200
266	1571	194
267	1576	188
268	1580	182
269	1583	175
270	1588	169
271	1590	163
272	1595	157
273	1599	151
274	1603	145
275	1605	139
276	1609	133
277	1612	127
278	1623	122
279	1632	116
280	1640	110
281	1645	105
282	1650	99
283	1652	93
284	1654	87
285	1657	81
286	1659	75
287	1661	69
288	1663	63
289	1664	57
290	1665	51
291	1667	45
292	1668	39
293	1669	34
294	1671	28
295	1672	22
296	1674	16
297	1675	11
298	1677	5
299	1679	0
